model,finding,sex,n,p_correct
chexagent,atelectasis,F,2561,0.9668
chexagent,atelectasis,M,2436,0.9606
chexagent,cardiomegaly,F,2561,0.8149
chexagent,cardiomegaly,M,2436,0.8403
chexagent,consolidation,F,2561,0.9938
chexagent,consolidation,M,2436,0.9889
chexagent,edema,F,2561,0.9891
chexagent,edema,M,2436,0.9934
chexagent,pleural_effusion,F,2561,0.9734
chexagent,pleural_effusion,M,2436,0.9631
chexagent,pneumothorax,F,2561,0.9992
chexagent,pneumothorax,M,2436,0.9979
medgemma,atelectasis,F,1238,0.9677
medgemma,atelectasis,M,1180,0.9492
medgemma,cardiomegaly,F,1231,0.9017
medgemma,cardiomegaly,M,1151,0.9123
medgemma,consolidation,F,1918,0.9937
medgemma,consolidation,M,1875,0.9883
medgemma,edema,F,2471,0.996
medgemma,edema,M,2296,0.9961
medgemma,pleural_effusion,F,2337,0.973
medgemma,pleural_effusion,M,2133,0.9602
medgemma,pneumothorax,F,2112,0.9991
medgemma,pneumothorax,M,1916,0.9979
