backbone,config,budget,rep,method,C,n_adapt,n_train,auroc_light,sens_light,auroc_mid,sens_mid,auroc_dark,sens_dark,gap_auroc,gap_sens,cert_lb_dark,cert_true_dark,cert_cov_dark,cert_n_dark,cert_lb_light,cert_true_light,cert_cov_light,cert_n_light,cert_lb_mid,cert_true_mid,cert_cov_mid,cert_n_mid
resnet50_frozen,std_tunedC,25,0,source,0.01,25,17,0.47812499999999997,0.3,0.545771144278607,0.36666666666666664,0.696546052631579,0.5263157894736842,-0.21842105263157902,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,simple,0.01,25,17,0.60546875,0.0,0.4671641791044776,0.0,0.5707236842105263,0.2631578947368421,0.03474506578947367,-0.2631578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,fair,0.01,25,17,0.6062500000000001,0.0,0.44527363184079605,0.0,0.5542763157894737,0.2631578947368421,0.051973684210526394,-0.2631578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,fair_legacy,0.01,25,17,0.6062500000000001,0.0,0.44527363184079605,0.0,0.5542763157894737,0.2631578947368421,0.051973684210526394,-0.2631578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,fair_shuffled,0.01,25,17,0.5992187499999999,0.0,0.4437810945273632,0.0,0.5526315789473684,0.2631578947368421,0.04658717105263155,-0.2631578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,groupdro,0.01,25,17,0.603125,0.0,0.47711442786069647,0.0,0.5797697368421052,0.2631578947368421,0.023355263157894823,-0.2631578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,smote,0.1,25,17,0.58203125,0.0,0.4154228855721393,0.0,0.5526315789473684,0.0,0.029399671052631637,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,src_aug,0.01,25,17,0.421875,0.15,0.7034825870646766,0.3,0.6611842105263158,0.47368421052631576,-0.23930921052631582,-0.3236842105263158,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,src_aug_matched,0.01,25,17,0.3953125,0.05,0.7114427860696518,0.16666666666666666,0.6825657894736842,0.3684210526315789,-0.28725328947368417,-0.31842105263157894,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,0,src_aug_down,0.1,25,17,0.45859375,0.0,0.6955223880597016,0.0,0.6768092105263157,0.10526315789473684,-0.21821546052631569,-0.10526315789473684,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,1,source,0.01,25,17,0.5093749999999999,0.8,0.5741293532338309,0.8333333333333334,0.6365131578947368,0.7894736842105263,-0.12713815789473693,0.010526315789473717,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,1,simple,0.01,25,17,0.5265625,0.0,0.5512437810945274,0.03333333333333333,0.6266447368421053,0.0,-0.10008223684210527,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,1,fair,0.01,25,17,0.5125,0.0,0.5592039800995023,0.03333333333333333,0.638157894736842,0.0,-0.12565789473684208,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,1,fair_legacy,0.01,25,17,0.5125,0.0,0.5592039800995023,0.03333333333333333,0.638157894736842,0.0,-0.12565789473684208,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,1,fair_shuffled,0.01,25,17,0.49765624999999997,0.0,0.53681592039801,0.06666666666666667,0.5962171052631579,0.0,-0.09856085526315789,0.0,,,,,,,,,,,,
