backbone,rep,method,kind,skin,dgroup,n_pos,sens,auroc_vs_benign,subset,n,auroc
resnet50_frozen,0,source,stratum,light,KC,16,0.6875,0.53369140625,,,
resnet50_frozen,0,source,stratum,light,MEL,2,0.5,0.3046875,,,
resnet50_frozen,0,source,stratum,light,OTH,2,1.0,0.3515625,,,
resnet50_frozen,0,source,stratum,mid,KC,24,0.7916666666666666,0.5357587064676617,,,
resnet50_frozen,0,source,stratum,mid,MEL,4,0.75,0.5727611940298507,,,
resnet50_frozen,0,source,stratum,mid,LYM,1,1.0,0.4477611940298507,,,
resnet50_frozen,0,source,stratum,mid,OTH,1,1.0,0.5522388059701493,,,
resnet50_frozen,0,source,stratum,dark,KC,4,1.0,0.734375,,,
resnet50_frozen,0,source,stratum,dark,MEL,4,0.75,0.5859375,,,
resnet50_frozen,0,source,stratum,dark,LYM,11,0.9090909090909091,0.6775568181818181,,,
resnet50_frozen,0,source,overall,light,,20,0.7,,all,84.0,0.49257812500000003
resnet50_frozen,0,source,overall,mid,,30,0.8,,all,97.0,0.5383084577114428
resnet50_frozen,0,source,overall,dark,,19,0.8947368421052632,,all,83.0,0.6702302631578947
resnet50_frozen,0,source,overall,light,,20,0.7,,noLYM,84.0,0.49257812500000003
resnet50_frozen,0,source,overall,mid,,29,0.7931034482758621,,noLYM,96.0,0.541430777148739
resnet50_frozen,0,source,overall,dark,,8,0.875,,noLYM,72.0,0.66015625
resnet50_frozen,0,simple,stratum,light,KC,16,0.0625,0.6611328125,,,
resnet50_frozen,0,simple,stratum,light,MEL,2,0.0,0.0546875,,,
resnet50_frozen,0,simple,stratum,light,OTH,2,0.0,0.65625,,,
resnet50_frozen,0,simple,stratum,mid,KC,24,0.08333333333333333,0.7064676616915423,,,
resnet50_frozen,0,simple,stratum,mid,MEL,4,0.0,0.48880597014925375,,,
resnet50_frozen,0,simple,stratum,mid,LYM,1,0.0,0.417910447761194,,,
resnet50_frozen,0,simple,stratum,mid,OTH,1,0.0,0.14925373134328357,,,
resnet50_frozen,0,simple,stratum,dark,KC,4,0.0,0.23828125,,,
resnet50_frozen,0,simple,stratum,dark,MEL,4,0.0,0.31640625,,,
resnet50_frozen,0,simple,stratum,dark,LYM,11,0.18181818181818182,0.9119318181818181,,,
resnet50_frozen,0,simple,overall,light,,20,0.05,,all,84.0,0.6
resnet50_frozen,0,simple,overall,mid,,30,0.06666666666666667,,all,97.0,0.6492537313432836
resnet50_frozen,0,simple,overall,dark,,19,0.10526315789473684,,all,83.0,0.644736842105263
resnet50_frozen,0,simple,overall,light,,20,0.05,,noLYM,84.0,0.6
resnet50_frozen,0,simple,overall,mid,,29,0.06896551724137931,,noLYM,96.0,0.6572310859495625
resnet50_frozen,0,simple,overall,dark,,8,0.0,,noLYM,72.0,0.27734375
resnet50_frozen,0,fair,stratum,light,KC,16,0.0625,0.677734375,,,
resnet50_frozen,0,fair,stratum,light,MEL,2,0.0,0.078125,,,
resnet50_frozen,0,fair,stratum,light,OTH,2,0.0,0.7421875,,,
resnet50_frozen,0,fair,stratum,mid,KC,24,0.125,0.7350746268656717,,,
resnet50_frozen,0,fair,stratum,mid,MEL,4,0.0,0.4925373134328358,,,
resnet50_frozen,0,fair,stratum,mid,LYM,1,0.0,0.4477611940298507,,,
resnet50_frozen,0,fair,stratum,mid,OTH,1,0.0,0.11940298507462688,,,
resnet50_frozen,0,fair,stratum,dark,KC,4,0.0,0.27734375,,,
resnet50_frozen,0,fair,stratum,dark,MEL,4,0.0,0.34765625,,,
resnet50_frozen,0,fair,stratum,dark,LYM,11,0.36363636363636365,0.9460227272727273,,,
resnet50_frozen,0,fair,overall,light,,20,0.05,,all,84.0,0.62421875
resnet50_frozen,0,fair,overall,mid,,30,0.1,,all,97.0,0.672636815920398
resnet50_frozen,0,fair,overall,dark,,19,0.21052631578947367,,all,83.0,0.6792763157894737
resnet50_frozen,0,fair,overall,light,,20,0.05,,noLYM,84.0,0.62421875
resnet50_frozen,0,fair,overall,mid,,29,0.10344827586206896,,noLYM,96.0,0.6803911477097272
resnet50_frozen,0,fair,overall,dark,,8,0.0,,noLYM,72.0,0.3125
resnet50_frozen,1,source,stratum,light,KC,15,0.6,0.396875,,,
resnet50_frozen,1,source,stratum,light,MEL,3,0.6666666666666666,0.35937499999999994,,,
resnet50_frozen,1,source,stratum,light,OTH,2,0.5,0.4375,,,
resnet50_frozen,1,source,stratum,mid,KC,17,0.6470588235294118,0.5610184372256366,,,
resnet50_frozen,1,source,stratum,mid,MEL,6,0.8333333333333334,0.6082089552238806,,,
resnet50_frozen,1,source,stratum,mid,LYM,4,0.75,0.5503731343283582,,,
resnet50_frozen,1,source,stratum,mid,OTH,3,0.3333333333333333,0.33333333333333337,,,
resnet50_frozen,1,source,stratum,dark,KC,2,1.0,0.70703125,,,
resnet50_frozen,1,source,stratum,dark,MEL,3,0.6666666666666666,0.6145833333333334,,,
resnet50_frozen,1,source,stratum,dark,LYM,13,0.6923076923076923,0.5817307692307692,,,
resnet50_frozen,1,source,stratum,dark,OTH,1,1.0,0.65625,,,
resnet50_frozen,1,source,overall,light,,20,0.6,,all,84.0,0.3953125
resnet50_frozen,1,source,overall,mid,,30,0.6666666666666666,,all,97.0,0.5462686567164179
resnet50_frozen,1,source,overall,dark,,19,0.7368421052631579,,all,83.0,0.6040296052631579
resnet50_frozen,1,source,overall,light,,20,0.6,,noLYM,84.0,0.3953125
resnet50_frozen,1,source,overall,mid,,26,0.6538461538461539,,noLYM,93.0,0.5456371986222732
resnet50_frozen,1,source,overall,dark,,6,0.8333333333333334,,noLYM,70.0,0.65234375
resnet50_frozen,1,simple,stratum,light,KC,15,0.2,0.8135416666666667,,,
