backbone,config,budget,rep,method,C,auroc_light,sens_light,spec_light,auroc_mid,sens_mid,spec_mid,auroc_dark,sens_dark,spec_dark,gap_auroc
resnet50_frozen,std_tunedC,25,0,simple,0.01,0.6171875,0.0,0.984375,0.41144278606965173,0.0,1.0,0.4736842105263157,0.05263157894736842,0.96875,0.1435032894736843
resnet50_frozen,std_tunedC,25,0,fair,0.01,0.61328125,0.0,0.984375,0.38855721393034826,0.03333333333333333,1.0,0.4547697368421053,0.0,0.96875,0.1585115131578947
resnet50_frozen,std_tunedC,25,0,smote,0.01,0.60703125,0.0,0.984375,0.3427860696517413,0.03333333333333333,1.0,0.43914473684210525,0.0,0.953125,0.16788651315789477
resnet50_frozen,std_tunedC,25,0,smote_shuf,0.01,0.59375,0.0,0.984375,0.363681592039801,0.0,1.0,0.3848684210526316,0.0,0.984375,0.20888157894736842
resnet50_frozen,std_tunedC,25,0,smote_light,0.01,0.62109375,0.0,1.0,0.39104477611940297,0.03333333333333333,1.0,0.4300986842105263,0.0,1.0,0.19099506578947367
resnet50_frozen,std_tunedC,25,0,smote_allmal,10.0,0.6,0.0,0.984375,0.3174129353233831,0.0,1.0,0.3675986842105263,0.0,1.0,0.23240131578947365
resnet50_frozen,std_tunedC,25,0,src_demo,0.1,0.5078125,0.0,1.0,0.7029850746268658,0.03333333333333333,1.0,0.6620065789473684,0.15789473684210525,0.953125,-0.15419407894736836
resnet50_frozen,std_tunedC,25,0,src_cond,1.0,0.59609375,0.0,1.0,0.636318407960199,0.0,1.0,0.6957236842105262,0.21052631578947367,0.984375,-0.09962993421052624
resnet50_frozen,std_tunedC,25,0,src_cond_dark,0.1,0.5109375,0.0,1.0,0.6990049751243782,0.0,1.0,0.6578947368421052,0.21052631578947367,0.953125,-0.14695723684210515
resnet50_frozen,std_tunedC,25,0,src_cond_shuf,0.1,0.646875,0.0,1.0,0.7472636815920397,0.0,1.0,0.6513157894736842,0.0,1.0,-0.0044407894736842035
resnet50_frozen,std_tunedC,25,1,simple,0.01,0.42890625,0.0,0.984375,0.5447761194029851,0.06666666666666667,0.9850746268656716,0.6858552631578947,0.05263157894736842,0.984375,-0.2569490131578947
resnet50_frozen,std_tunedC,25,1,fair,0.1,0.4390625,0.0,0.984375,0.5502487562189056,0.06666666666666667,0.9850746268656716,0.6858552631578947,0.05263157894736842,0.984375,-0.24679276315789467
resnet50_frozen,std_tunedC,25,1,smote,0.01,0.428125,0.0,0.984375,0.5482587064676616,0.03333333333333333,1.0,0.640625,0.0,0.984375,-0.21250000000000002
resnet50_frozen,std_tunedC,25,1,smote_shuf,0.01,0.42890625,0.0,0.984375,0.5447761194029851,0.06666666666666667,0.9850746268656716,0.6858552631578947,0.05263157894736842,0.984375,-0.2569490131578947
